Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,48,High School,3.2,68.8,0.0,2.5,Urban,40.8,86152,2,0
Female,White,38,Bachelors,0.6,63.1,53.4,2.2,Urban,55.5,73254,2,0
Female,Hispanic,28,Bachelors,11.1,54.2,69.6,1.0,Suburban,80.1,89441,3,0
Male,White,39,Bachelors,0.6,49.0,32.6,4.1,Urban,73.3,83999,1,0
Male,White,30,Bachelors,6.9,78.1,40.9,2.0,Suburban,38.1,95515,1,1
Male,Asian,28,High School,3.4,77.3,14.5,1.1,Suburban,73.2,86384,4,0
Male,White,23,Masters,3.4,100.0,75.2,2.3,Urban,37.3,105157,2,1
Female,Asian,22,Masters,6.0,62.0,29.2,1.0,Urban,33.4,80222,4,0
Female,White,31,Bachelors,0.4,48.5,94.1,1.2,Urban,84.3,76958,2,0
Female,White,36,High School,5.0,67.6,20.5,1.3,Urban,20.7,72663,2,0
Male,White,34,Masters,9.8,80.6,46.2,1.7,Urban,82.3,95882,1,1
Female,White,30,PhD,9.7,66.5,21.9,1.2,Urban,52.0,88981,1,0
Female,Hispanic,25,Bachelors,0.8,62.9,73.0,1.5,Urban,62.5,73475,4,0
Male,White,41,Bachelors,15.0,87.6,35.1,2.2,Suburban,85.6,123221,1,1
Male,Black,22,High School,5.8,66.0,78.7,1.7,Suburban,52.0,83379,3,0
Male,White,42,Bachelors,14.1,78.2,48.1,1.5,Urban,43.8,114559,1,1
Male,White,24,High School,4.4,42.8,16.8,4.2,Urban,94.0,90802,1,0
Male,Asian,27,Bachelors,4.9,83.8,31.1,2.4,Suburban,81.9,97809,3,0
Male,White,22,Masters,16.6,71.7,41.3,5.0,Urban,100.0,110687,2,1
Male,Black,29,Bachelors,12.4,40.0,13.7,1.0,Suburban,15.0,96199,4,0
Female,Hispanic,44,Bachelors,2.7,74.0,51.5,2.9,Urban,95.2,79237,4,0
Male,Black,40,Bachelors,1.7,52.5,16.2,1.0,Urban,92.4,70911,1,0
Male,Hispanic,44,Bachelors,2.7,100.0,64.7,2.5,Urban,19.1,92531,3,0
Male,White,40,High School,3.2,59.2,57.4,1.3,Urban,55.7,79868,3,0
Male,White,23,High School,2.2,43.3,91.6,1.4,Suburban,65.7,76062,1,1
Female,White,31,Masters,1.7,59.1,4.4,2.5,Urban,3.4,67269,2,0
Male,Asian,27,High School,12.4,63.1,91.5,2.3,Urban,71.0,89977,3,1
Male,Hispanic,48,Masters,0.4,57.8,6.7,1.5,Suburban,56.9,71675,3,0
Male,White,23,PhD,7.5,90.3,77.5,1.0,Urban,36.3,101621,1,1
Male,Black,43,Bachelors,1.0,41.5,13.6,1.9,Urban,54.0,63859,3,0
Female,White,43,Bachelors,2.3,49.7,34.4,4.1,Rural,83.8,75185,1,0
Male,Black,53,Bachelors,0.3,63.0,29.9,3.5,Suburban,46.4,74800,1,0
Male,White,30,Masters,2.1,43.2,27.5,2.5,Urban,62.2,78374,1,0
Female,Hispanic,42,PhD,6.6,92.6,46.6,1.4,Suburban,63.7,95682,4,0
Female,Black,57,Masters,9.7,54.2,62.3,1.1,Urban,55.2,92456,2,0
Female,White,28,High School,1.4,66.4,31.7,1.0,Suburban,29.7,78680,4,0
Male,White,22,Masters,4.1,49.2,82.0,1.3,Suburban,96.2,79501,1,1
Male,White,22,Bachelors,4.2,23.6,12.5,2.6,Suburban,58.6,74421,1,0
Female,White,42,Bachelors,11.4,98.1,16.3,3.2,Urban,25.9,116829,1,0
Male,White,22,High School,9.5,59.9,22.8,2.8,Urban,27.5,99902,2,0
Male,Asian,31,High School,4.5,40.5,44.5,1.8,Urban,79.5,76572,3,0
Male,Black,39,Masters,6.0,89.6,11.0,2.0,Rural,80.9,93134,2,0
Male,Black,36,Bachelors,10.2,96.2,50.7,1.1,Urban,82.7,101166,1,1
Female,White,39,Bachelors,0.1,54.5,67.1,3.6,Suburban,86.3,63518,2,0
Male,Asian,37,Bachelors,3.2,80.5,30.2,1.4,Urban,37.3,94189,3,0
Female,Asian,47,Masters,12.5,91.9,7.6,2.3,Rural,62.8,104915,3,0
Male,White,25,Masters,8.9,83.6,71.8,3.1,Suburban,66.4,94527,1,1
Male,Asian,28,Bachelors,4.9,56.4,49.8,1.0,Urban,69.5,81143,3,0
Male,Black,27,High School,4.1,86.2,47.0,1.0,Urban,69.0,95370,3,0
Male,White,43,Bachelors,2.8,53.2,26.6,3.0,Rural,77.3,77381,2,1
Female,White,44,PhD,4.0,98.8,60.1,1.4,Urban,67.8,86641,1,1
Female,White,39,Bachelors,5.9,61.0,85.3,2.2,Urban,72.5,84793,1,0
