Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Name_Complexity,Hiring_Decision
Male,White,48,High School,3.0,66.8,0.0,3.5,Urban,70.0,2,0
Female,White,38,Bachelors,0.6,62.1,53.4,2.2,Urban,36.5,2,0
Female,Hispanic,28,Bachelors,11.1,54.2,69.6,1.0,Suburban,46.0,3,0
Male,White,39,Bachelors,0.6,47.0,32.6,4.1,Urban,51.4,1,0
Male,White,30,Bachelors,6.3,76.1,40.9,2.0,Suburban,38.2,2,0
Male,Asian,28,High School,3.1,75.3,14.5,2.1,Rural,99.8,3,0
Male,Black,23,Masters,2.6,100.0,75.2,1.9,Rural,15.7,1,0
Female,Asian,22,Masters,6.0,61.0,29.2,1.0,Urban,82.3,3,0
Male,White,31,Bachelors,0.4,49.5,92.1,1.2,Urban,86.7,1,1
Female,Black,36,High School,4.1,63.6,20.5,1.0,Urban,26.2,3,0
Male,White,34,Masters,8.9,78.6,46.2,1.7,Rural,77.4,1,1
Female,White,30,PhD,9.7,65.5,21.9,1.2,Urban,51.7,2,0
Female,Hispanic,25,High School,0.8,57.9,73.0,1.5,Urban,68.3,3,0
Male,White,41,Bachelors,13.8,85.6,35.1,3.2,Rural,33.7,2,1
Male,Black,22,High School,5.3,65.0,78.7,2.7,Suburban,54.6,2,0
Male,Black,42,Bachelors,10.6,73.2,48.1,1.1,Urban,56.6,1,0
Male,White,24,High School,4.0,40.8,16.8,4.2,Urban,95.3,1,0
Male,Hispanic,27,Bachelors,3.9,76.8,31.1,3.1,Suburban,51.4,3,0
Male,White,22,Masters,15.2,69.7,41.3,5.0,Suburban,71.2,1,1
Male,Asian,29,Bachelors,13.3,44.0,5.7,2.2,Suburban,50.1,3,0
Male,Hispanic,44,Bachelors,2.9,76.0,49.5,2.9,Urban,41.2,3,0
Male,Black,40,Bachelors,1.6,51.5,16.2,1.0,Urban,43.6,2,0
Male,Hispanic,44,Bachelors,2.5,100.0,64.7,3.5,Suburban,91.0,3,1
Male,White,40,High School,3.0,57.2,57.4,1.3,Rural,68.8,1,1
Male,Black,23,High School,1.7,38.3,91.6,2.0,Urban,49.7,2,0
Female,White,31,Masters,1.7,58.1,4.4,2.5,Urban,100.0,1,0
Male,Asian,27,High School,11.4,61.1,91.5,2.3,Suburban,58.9,4,1
Male,Hispanic,48,Masters,0.4,56.8,6.7,1.5,Suburban,84.8,4,0
Male,White,23,PhD,6.8,88.3,77.5,1.0,Urban,77.7,1,1
Male,Asian,43,Bachelors,1.1,45.5,5.6,2.2,Suburban,45.5,3,0
Male,White,43,Bachelors,2.6,50.7,32.4,4.1,Rural,62.2,1,1
Male,Black,53,Bachelors,0.3,62.0,29.9,3.5,Suburban,70.1,2,0
Male,Black,30,Masters,1.6,38.2,27.5,2.1,Urban,59.9,1,0
Female,Hispanic,42,PhD,6.6,92.6,46.6,1.4,Rural,54.6,3,0
Female,Asian,57,Masters,11.4,59.2,54.3,1.4,Urban,37.1,3,0
Female,White,28,High School,1.4,65.4,31.7,1.0,Urban,78.3,2,0
Male,White,22,Masters,3.8,47.2,82.0,1.3,Suburban,41.0,1,0
Male,White,22,Bachelors,3.8,21.6,12.5,2.6,Suburban,35.1,1,0
Male,White,42,Bachelors,12.5,99.1,14.3,3.2,Rural,47.8,1,1
Male,White,22,High School,8.7,57.9,22.8,2.8,Urban,85.8,1,1
Male,Hispanic,31,High School,3.6,33.5,44.5,1.5,Urban,63.6,4,0
Male,Black,39,Masters,5.5,88.6,11.0,2.0,Rural,50.5,1,0
Male,Black,36,Bachelors,9.3,95.2,50.7,1.1,Urban,31.4,4,0
Female,White,39,Bachelors,0.1,53.5,67.1,3.6,Urban,65.1,1,0
Male,Hispanic,37,Bachelors,2.6,73.5,30.2,1.1,Suburban,72.0,3,0
Male,Asian,47,Masters,13.7,92.9,5.6,2.3,Rural,57.4,4,1
