Gender,Race,Age,Education_Level,Experience_Years,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,36,Masters,2.3,88.5,3.3,Rural,98.5,81340,1,1
Male,White,43,Bachelors,6.6,20.3,1.6,Suburban,48.4,80012,2,0
Female,Hispanic,25,High School,0.6,53.9,1.8,Urban,48.0,63862,3,0
Male,Black,25,Bachelors,5.9,37.3,4.2,Rural,73.9,84435,1,0
Female,White,41,Bachelors,4.1,51.0,2.4,Suburban,62.4,83877,1,0
Male,White,25,High School,1.2,32.0,2.3,Urban,58.0,81909,1,0
Male,Black,22,Masters,3.3,85.0,1.2,Urban,72.0,87162,2,0
Male,Asian,27,PhD,0.5,77.1,5.0,Urban,44.5,73102,4,1
Female,Asian,30,Bachelors,0.2,77.3,4.1,Rural,21.3,70660,4,0
Female,White,27,Bachelors,4.6,67.7,1.0,Suburban,78.9,73032,4,1
Male,White,34,Masters,8.6,41.9,5.0,Rural,15.2,100194,1,1
Male,White,34,High School,0.5,19.0,1.9,Suburban,95.7,83547,1,1
Male,Black,28,Masters,25.0,35.0,1.0,Suburban,68.4,122200,2,1
Male,White,49,Masters,2.7,54.4,1.9,Urban,78.5,85484,3,1
Female,White,38,Masters,3.6,44.3,3.6,Urban,71.7,75264,3,0
Male,White,41,Masters,1.9,59.8,3.2,Urban,64.4,84020,1,0
Female,Hispanic,43,Bachelors,7.8,40.3,2.6,Urban,46.9,85742,4,0
Female,Hispanic,22,Bachelors,0.3,47.4,3.0,Urban,47.9,74598,3,0
Female,Hispanic,50,Masters,3.6,43.5,1.7,Suburban,82.6,73773,3,0
Female,Hispanic,31,Masters,13.0,34.0,3.6,Urban,47.2,96913,3,0
Female,Hispanic,37,PhD,1.7,60.8,4.8,Urban,0.0,72094,3,0
Female,Black,38,Bachelors,0.2,65.9,4.0,Urban,47.4,66962,1,0
Female,Asian,22,Bachelors,0.1,22.3,2.0,Urban,60.2,64332,4,0
Female,White,42,Bachelors,4.5,56.9,1.4,Urban,39.2,86283,1,0
Male,White,34,Bachelors,1.8,75.6,3.3,Suburban,95.6,89641,1,1
Female,Asian,28,Masters,3.1,40.9,2.1,Urban,38.8,68574,4,0
Male,Black,35,High School,2.7,22.8,1.3,Urban,35.7,91544,1,0
Female,Asian,45,Masters,0.4,70.4,3.7,Suburban,38.0,80197,4,0
Female,White,30,High School,17.9,87.7,2.1,Urban,80.8,117050,1,1
Female,Black,59,Masters,6.6,38.7,1.8,Urban,38.9,89691,4,0
Male,Asian,30,Bachelors,4.1,53.1,1.3,Rural,61.0,81746,4,0
Female,Black,22,Bachelors,1.5,18.7,1.5,Suburban,67.1,79673,4,0
Female,White,53,PhD,1.8,83.6,1.4,Urban,5.1,90128,1,0
Male,White,41,Bachelors,11.1,57.1,1.4,Rural,61.8,116183,3,1
Female,Asian,39,Bachelors,5.9,68.6,2.2,Urban,45.1,73226,3,0
Female,White,41,Bachelors,0.8,97.3,1.0,Rural,64.1,73201,2,1
Female,Hispanic,23,High School,6.2,17.8,4.8,Suburban,52.8,85370,3,0
Male,Black,42,PhD,4.7,48.1,3.0,Urban,35.1,75044,2,0
Male,Hispanic,44,Masters,3.8,68.9,1.2,Suburban,34.8,100543,4,0
Female,Asian,22,Masters,19.2,0.0,5.0,Suburban,65.1,115699,3,1
Male,Asian,47,Masters,10.9,10.4,3.7,Suburban,76.2,101929,4,1
Male,Black,29,Bachelors,0.6,31.0,1.0,Rural,24.3,78821,2,0
Male,White,51,PhD,4.8,91.6,2.2,Suburban,63.8,76680,1,1
Female,White,30,PhD,4.4,75.0,2.4,Suburban,72.9,83636,3,1
Female,Asian,25,Bachelors,5.1,26.4,3.2,Urban,57.5,91484,3,0
Female,Asian,27,Bachelors,6.3,46.9,1.6,Urban,78.0,80256,3,0
Female,White,22,Bachelors,5.7,79.1,1.4,Rural,59.0,83535,1,0
Female,Black,31,Masters,1.7,60.9,3.0,Urban,22.2,81483,1,0
Male,Asian,30,Masters,19.2,17.3,2.4,Urban,53.8,121431,3,1
Male,Hispanic,22,Masters,0.5,19.5,1.0,Urban,34.2,81517,3,0
Male,Black,22,High School,4.1,15.2,4.1,Urban,0.0,81558,1,0
Female,White,42,High School,3.7,51.8,3.1,Urban,54.4,83064,1,0
Female,Asian,24,Bachelors,1.4,46.7,3.7,Urban,19.1,84443,3,0
Male,Black,33,High School,2.2,23.5,3.1,Suburban,23.9,66518,1,0
Male,Black,36,Masters,0.6,45.6,4.1,Urban,34.7,62587,1,0
Female,Hispanic,33,Masters,8.3,29.6,3.8,Urban,33.3,73233,3,0
Female,White,26,Masters,1.3,34.2,2.4,Urban,69.2,75673,3,0
Male,Asian,26,PhD,3.1,41.8,3.2,Urban,69.9,89521,4,1
Male,Black,39,High School,8.4,34.7,3.4,Suburban,24.8,86009,1,0
Female,Black,47,PhD,0.1,81.7,1.2,Suburban,24.5,67343,1,0
Female,Asian,41,Bachelors,0.4,70.0,2.3,Urban,4.7,78838,3,0
Female,Asian,22,Bachelors,4.0,53.3,3.5,Rural,60.9,81902,3,0
Female,Hispanic,33,High School,2.8,22.2,1.0,Suburban,62.5,88292,4,0
Female,Black,38,High School,13.3,81.4,2.3,Suburban,26.0,88384,1,0
Male,Black,26,High School,1.6,64.5,4.0,Suburban,72.8,77220,3,0
Female,Asian,34,Bachelors,0.5,47.7,1.0,Rural,61.3,75398,3,0
Female,White,33,Masters,5.0,52.5,2.4,Suburban,60.7,89333,1,0
Male,White,22,Bachelors,0.9,38.1,1.7,Rural,56.0,71399,1,0
Male,White,23,High School,0.7,39.5,2.4,Rural,63.1,80026,1,0
Female,White,44,Bachelors,2.9,36.4,2.5,Rural,53.2,86009,1,0
Female,Black,37,Masters,11.2,9.4,2.9,Suburban,52.0,92971,2,0
Male,Hispanic,38,High School,0.3,28.2,2.4,Suburban,85.9,64929,3,0
Male,Asian,33,Masters,5.0,47.9,4.0,Rural,33.1,89194,3,0
Female,White,28,Bachelors,0.9,55.4,1.0,Suburban,71.8,83054,1,0
Female,Black,23,Bachelors,3.3,36.0,2.7,Suburban,16.2,77130,3,0
Male,White,34,Bachelors,8.8,63.2,2.2,Suburban,41.5,97400,2,1
Male,White,22,PhD,1.2,75.9,1.6,Suburban,75.2,67961,1,0
