Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Hiring_Decision
Male,White,22,Masters,7.2,59.2,24.3,1.0,Rural,31.7,85280,0
Female,Asian,49,PhD,1.3,79.4,21.5,2.4,Urban,64.5,76303,0
Male,White,22,Masters,7.1,59.0,34.5,2.2,Suburban,39.8,91998,1
Female,Hispanic,22,High School,1.7,93.0,41.8,4.1,Urban,42.9,77319,0
Male,White,50,Bachelors,10.8,38.9,14.1,1.5,Urban,53.9,94958,0
Male,White,59,High School,9.3,85.1,43.8,2.2,Urban,33.1,100331,1
Male,Black,22,High School,7.4,36.0,54.7,1.0,Urban,11.2,81965,0
Male,Black,37,High School,4.2,71.0,61.6,1.8,Suburban,32.6,80970,0
Male,White,42,Masters,5.7,89.8,29.2,5.0,Rural,73.6,94482,1
Male,Hispanic,36,Bachelors,0.6,84.4,77.6,3.8,Urban,18.3,87196,0
Male,Black,30,Bachelors,3.6,91.9,50.1,1.0,Urban,75.8,99431,0
Male,White,44,Bachelors,10.2,68.1,80.6,4.5,Suburban,73.4,101891,1
Female,White,22,Bachelors,13.5,76.2,63.5,3.2,Urban,26.3,98158,1
Female,Black,28,PhD,2.7,90.8,16.6,1.1,Urban,72.7,82782,0
Female,Asian,24,PhD,2.1,73.6,58.7,1.2,Rural,49.6,75615,0
Female,Black,37,Masters,2.9,49.1,69.9,1.1,Suburban,25.5,82498,0
Male,White,26,Bachelors,12.5,61.0,83.7,1.2,Urban,60.8,108334,1
Female,Asian,29,PhD,18.8,100.0,50.8,2.0,Suburban,59.5,111776,1
Male,White,33,Bachelors,0.9,98.0,77.1,3.1,Urban,39.7,91165,1
Male,White,57,Masters,1.0,58.1,3.3,2.3,Urban,39.4,89227,0
Female,Hispanic,37,Bachelors,5.5,80.8,23.2,3.8,Urban,24.4,89864,0
Female,White,39,Bachelors,6.7,79.1,69.8,1.1,Urban,48.5,97056,0
Male,Hispanic,44,Masters,0.5,60.7,4.3,1.0,Suburban,48.5,71173,0
Male,Black,38,Masters,0.3,65.3,79.4,4.5,Urban,42.0,74376,0
Male,Hispanic,28,Bachelors,11.0,49.7,6.7,3.1,Suburban,66.8,81233,0
Female,Asian,33,Bachelors,0.6,82.1,29.5,3.7,Urban,20.2,77080,0
Female,Black,28,Bachelors,19.9,46.3,49.5,2.8,Urban,100.0,105579,1
Male,Hispanic,32,Masters,2.2,93.6,30.1,1.0,Urban,33.3,93672,0
Male,White,35,High School,3.1,59.5,93.7,4.1,Urban,40.2,79733,1
Male,White,54,Masters,0.3,100.0,41.1,1.9,Suburban,92.9,95052,1
Male,Hispanic,40,High School,4.5,78.3,13.6,3.5,Suburban,16.1,79764,0
Male,Hispanic,39,High School,1.4,66.5,38.1,1.0,Rural,46.8,82138,0
Male,Asian,35,High School,4.4,33.9,65.6,1.6,Urban,96.8,68896,0
Male,White,25,Bachelors,13.0,40.7,42.2,1.1,Urban,78.0,103120,1
Male,Asian,24,Bachelors,2.8,38.4,44.2,1.1,Urban,85.0,65815,0
Male,White,36,Bachelors,2.9,70.6,58.9,3.7,Urban,45.2,92852,1
Male,White,48,Masters,1.8,71.6,37.5,2.0,Suburban,55.9,86737,0
Female,Asian,38,High School,1.8,71.9,33.2,3.2,Rural,69.7,71006,0
Female,Asian,43,High School,6.9,30.6,78.1,1.2,Suburban,76.5,76709,0
Male,Black,38,Masters,9.9,61.5,57.5,1.1,Urban,30.1,86167,0
Female,White,45,Masters,0.3,61.7,11.8,1.3,Urban,35.4,75837,0
Male,White,23,High School,1.5,70.5,35.7,5.0,Rural,33.6,88120,0
Female,Black,38,Bachelors,0.9,54.1,45.8,1.0,Rural,55.1,68357,0
Male,White,37,Masters,1.2,53.6,63.1,2.2,Rural,63.5,86783,0
Female,Hispanic,22,Masters,5.4,83.8,39.7,1.3,Suburban,41.3,84622,0
Female,White,41,PhD,0.6,100.0,19.0,3.9,Urban,60.4,80735,0
Female,Asian,32,High School,3.2,68.2,27.4,1.0,Urban,41.2,82097,0
Female,Black,44,Masters,4.5,81.4,60.7,3.4,Urban,39.8,90950,0
Female,Hispanic,23,Masters,2.0,83.2,58.7,1.0,Urban,46.1,83242,0
Female,Hispanic,34,High School,5.0,49.2,80.5,1.6,Urban,65.6,78516,0
Female,White,22,PhD,6.6,90.0,92.5,1.5,Suburban,74.1,91664,1
Male,Asian,25,High School,3.8,97.5,39.6,4.1,Urban,57.9,93141,1
Male,White,30,Masters,3.8,82.9,60.4,4.1,Rural,100.0,93198,1
Male,White,39,Masters,9.6,54.0,63.1,2.7,Rural,77.9,94557,1
Female,White,33,High School,8.3,85.6,86.6,5.0,Rural,51.3,91146,1
Female,Hispanic,44,High School,0.6,50.6,58.7,1.0,Suburban,45.8,73213,0
Male,Black,60,High School,2.6,73.6,89.4,1.0,Rural,69.7,87671,0
Female,Asian,27,High School,8.7,74.5,18.7,4.6,Suburban,46.4,95840,0
Female,Black,22,High School,2.5,81.7,34.9,4.0,Suburban,78.3,81713,0
Female,White,60,High School,0.7,61.6,30.8,2.5,Rural,69.7,79165,0
Male,White,40,High School,0.3,93.5,39.7,2.4,Suburban,39.7,90537,1
Male,White,34,PhD,1.5,97.7,55.8,2.3,Suburban,78.7,91083,1
Male,White,22,Bachelors,7.1,95.8,83.2,1.1,Rural,35.8,108337,1
Female,Asian,28,Bachelors,0.2,70.7,49.1,3.2,Suburban,41.3,71681,0
Male,Asian,34,Bachelors,0.8,94.4,38.3,4.1,Urban,63.6,92149,1
Female,Hispanic,49,Masters,4.6,90.1,31.8,1.0,Urban,41.9,84708,0
Female,White,24,Masters,0.8,32.2,31.2,3.2,Urban,69.0,70394,0
Female,Asian,28,PhD,0.6,56.0,15.7,1.8,Urban,79.0,72361,0
Male,Hispanic,23,PhD,1.8,70.7,19.1,3.5,Suburban,71.0,78496,0
Male,Black,28,Masters,5.3,55.6,82.1,1.3,Suburban,33.5,69715,0
Male,White,45,Bachelors,0.1,64.2,2.0,1.2,Suburban,49.3,71769,0
Female,Black,22,Bachelors,1.4,65.5,48.4,2.9,Suburban,65.9,67853,0
Female,White,22,Bachelors,3.5,53.8,24.4,2.5,Suburban,65.4,80239,0
Male,Black,43,Bachelors,8.7,94.5,63.3,1.8,Urban,50.2,104416,1
Female,White,23,Bachelors,0.5,78.6,23.6,3.0,Suburban,59.9,77308,0
Male,Asian,35,Bachelors,4.8,52.7,40.0,3.4,Urban,23.4,81039,0
Male,Hispanic,46,PhD,0.7,87.5,14.9,3.7,Rural,14.6,84147,0
Female,White,34,Masters,3.4,99.0,40.1,4.2,Rural,71.5,92147,1
Female,White,28,Bachelors,0.8,60.7,14.4,1.2,Rural,41.7,78625,0
Male,Hispanic,43,PhD,12.7,56.9,45.7,2.6,Urban,64.4,96816,0
Male,Hispanic,27,High School,3.5,28.7,9.7,4.6,Urban,64.6,79923,0
Female,White,48,Bachelors,3.1,75.8,30.9,2.6,Urban,70.7,88903,0
Male,White,36,High School,2.1,64.4,34.2,2.0,Suburban,100.0,85813,1
Male,Asian,35,High School,25.0,84.4,67.9,1.8,Suburban,18.5,129227,1
Female,Black,57,Bachelors,2.0,45.6,71.3,2.4,Urban,48.5,76391,0
Female,White,37,Bachelors,0.2,57.4,51.3,2.2,Urban,62.9,78805,0
Male,Hispanic,24,High School,8.0,83.7,55.4,3.4,Suburban,18.5,100779,0
Male,Black,52,Bachelors,1.0,83.3,48.2,1.1,Urban,36.8,73046,0
Male,Hispanic,32,Bachelors,8.4,56.4,64.9,1.8,Urban,77.7,78956,1
Female,White,27,High School,8.4,62.7,62.2,3.3,Suburban,81.7,92341,1
Female,White,41,High School,0.7,4.1,27.7,1.3,Rural,50.5,60367,0
Male,Hispanic,33,Bachelors,8.7,67.6,47.4,1.5,Urban,82.3,82806,0
Male,White,42,Masters,0.4,51.4,53.0,3.6,Urban,2.0,74460,0
Male,Asian,22,Bachelors,9.1,91.5,13.7,2.4,Suburban,83.9,101705,1
Female,White,27,Bachelors,5.4,85.3,43.3,1.2,Suburban,49.4,89348,0
Male,Black,28,Bachelors,4.4,89.5,56.0,1.0,Suburban,73.8,96027,0
Male,Hispanic,58,Masters,4.5,55.3,65.6,1.9,Urban,81.6,82332,0
Female,Black,27,Bachelors,4.1,46.9,77.0,3.3,Suburban,84.1,73492,0
Female,Black,22,High School,2.5,86.4,18.7,1.3,Urban,100.0,77759,0
Male,White,44,Bachelors,2.5,88.3,38.6,1.1,Urban,75.9,91762,1
Female,White,39,Bachelors,0.7,48.3,56.5,2.3,Rural,50.1,74828,0
Male,Hispanic,38,Masters,6.5,78.0,69.0,1.0,Suburban,46.6,84670,0
Female,White,23,Bachelors,5.0,78.2,18.6,1.3,Urban,40.7,95679,0
Female,White,46,Masters,3.0,74.5,83.6,3.7,Urban,41.0,80555,0
Female,Asian,22,Bachelors,2.1,74.5,61.3,4.5,Urban,29.4,78024,0
Male,Black,22,High School,15.3,71.1,74.0,3.7,Suburban,63.0,106054,1
Female,Hispanic,46,Masters,9.6,75.2,38.2,5.0,Suburban,54.1,98476,0
Female,Hispanic,32,Bachelors,1.0,47.6,55.9,3.1,Urban,18.2,64354,0
Female,White,51,Masters,0.7,100.0,42.8,4.8,Suburban,29.6,85238,0
Male,Black,45,Bachelors,16.2,58.2,64.8,1.0,Urban,85.7,108131,1
Male,Asian,32,PhD,0.6,34.7,49.0,4.2,Urban,25.4,65262,0
Male,Hispanic,24,Bachelors,0.8,57.3,73.9,1.0,Urban,43.0,73196,0
Male,White,39,Bachelors,6.0,84.2,61.5,2.3,Rural,78.4,101190,1
Female,Black,50,Masters,8.8,76.0,25.5,1.5,Suburban,43.9,88554,0
Female,Hispanic,31,Masters,3.9,70.3,82.5,1.0,Suburban,79.0,84281,0
Female,Hispanic,22,PhD,0.2,61.2,40.6,1.0,Urban,72.8,75465,0
Male,White,39,Bachelors,14.3,70.0,34.8,4.1,Urban,63.4,106290,1
Female,Hispanic,53,Masters,2.8,54.5,87.3,4.4,Urban,29.4,76006,0
Male,White,23,Bachelors,3.9,99.9,87.3,3.2,Rural,85.0,96496,1
Female,White,43,Masters,6.2,93.3,94.1,2.4,Urban,17.4,96116,0
Female,Black,33,Masters,3.6,60.0,46.4,2.3,Urban,60.7,78549,0
Male,White,22,Bachelors,23.1,94.4,24.1,2.8,Suburban,59.7,125852,1
Male,Asian,32,Bachelors,11.9,78.8,26.5,2.5,Rural,17.3,107141,0
Male,Black,30,Bachelors,3.7,100.0,66.5,1.0,Suburban,38.4,96418,0
Male,White,22,High School,1.3,92.5,100.0,3.4,Suburban,65.7,85619,1
Female,Black,24,High School,3.2,24.6,57.7,1.7,Urban,55.2,68645,0
Male,White,42,High School,20.3,68.6,90.8,2.9,Suburban,79.8,122081,1
Male,Asian,43,Masters,5.9,94.3,34.7,1.6,Suburban,51.2,93933,0
Male,Black,30,Bachelors,9.8,49.2,46.4,3.8,Urban,15.9,89253,0
Male,Hispanic,22,Masters,2.8,61.9,47.2,1.9,Urban,24.2,73147,0
Male,White,27,Bachelors,5.1,70.2,35.5,3.3,Suburban,37.6,89286,0
Female,White,35,Bachelors,3.9,96.6,88.7,2.2,Urban,100.0,89958,1
Male,White,35,High School,1.1,68.6,60.8,1.5,Suburban,100.0,80830,1
Female,White,39,High School,7.3,68.2,80.7,2.1,Urban,38.9,94596,0
Female,White,45,Bachelors,7.6,63.6,94.2,4.2,Urban,10.8,83859,1
Male,Hispanic,40,Masters,0.7,91.1,83.2,1.1,Rural,28.1,86920,0
Female,Black,34,Masters,0.6,93.2,53.7,2.6,Urban,43.2,76153,0
Male,Hispanic,36,Bachelors,16.2,69.7,39.3,1.0,Urban,50.4,99482,0
Female,Hispanic,54,High School,6.2,46.4,70.7,2.1,Suburban,23.5,74398,0
Female,Asian,30,High School,0.8,87.7,33.0,2.0,Urban,52.9,75785,0
Male,White,22,Bachelors,4.9,100.0,85.4,2.3,Suburban,42.2,98362,1
Male,Hispanic,51,High School,2.9,52.3,37.8,4.1,Urban,57.8,77291,0
Female,Asian,35,Masters,5.4,93.4,74.7,1.6,Urban,36.1,75747,0
Male,Hispanic,30,Masters,8.1,74.4,90.1,3.0,Urban,29.9,91468,0
Male,White,28,Bachelors,1.1,48.4,49.9,2.4,Rural,100.0,79034,1
Female,Asian,39,Bachelors,5.9,98.0,67.2,1.8,Urban,79.1,98138,1
Female,Asian,59,Bachelors,3.6,65.1,60.5,3.1,Urban,27.6,76519,0
Male,White,37,High School,6.7,69.0,64.9,5.0,Suburban,50.0,99474,1
Male,Black,40,High School,6.4,77.4,19.0,4.4,Urban,42.1,97855,0
Female,Black,33,Masters,7.1,78.1,42.6,4.2,Urban,78.1,79808,1
Female,Black,28,Masters,1.6,31.7,63.6,1.0,Rural,25.3,65686,0
Male,White,45,Bachelors,4.0,76.4,51.8,4.0,Urban,67.4,89394,1
Female,Black,25,Masters,3.5,60.6,32.0,1.0,Urban,35.8,84249,0
Male,White,46,Masters,9.4,75.9,12.3,2.1,Rural,75.4,104789,1
Female,Asian,43,Masters,0.5,79.9,25.1,1.2,Rural,23.0,72776,0
Male,White,51,Masters,5.1,52.4,72.1,3.7,Urban,53.7,89892,1
Male,White,34,Bachelors,5.1,20.1,27.0,4.8,Rural,65.2,77291,0
Male,Black,29,Masters,0.2,67.2,53.2,3.3,Suburban,95.6,87924,0
Female,White,22,Bachelors,21.0,93.0,58.0,3.4,Urban,94.2,124479,1
Female,Black,44,Bachelors,1.3,46.7,39.3,1.6,Rural,68.6,61726,0
Male,Black,46,Bachelors,1.9,59.2,70.7,2.8,Suburban,50.4,78780,0
Male,Black,51,Bachelors,0.0,91.7,68.4,2.8,Suburban,67.5,87059,0
Male,White,22,Bachelors,10.6,81.1,53.9,2.3,Suburban,75.1,103751,1
Male,White,47,Masters,11.2,38.6,45.5,3.1,Urban,43.6,97407,1
Male,Black,48,High School,6.0,83.5,32.8,2.6,Urban,49.9,82787,0
Male,Asian,52,PhD,7.1,98.5,41.5,3.4,Urban,69.4,90969,1
Male,Asian,36,Bachelors,5.1,80.7,70.5,3.0,Suburban,31.8,83926,1
Female,White,25,Bachelors,0.1,74.9,73.0,1.1,Urban,23.0,86463,0
Male,Black,39,Bachelors,0.5,17.2,68.3,1.8,Rural,84.0,53358,0
Male,White,34,Bachelors,3.0,88.3,46.2,1.0,Suburban,92.0,81939,1
Male,Asian,39,High School,7.6,24.7,70.1,1.0,Suburban,82.2,84890,0
Male,Black,29,High School,3.8,57.7,100.0,4.5,Urban,90.9,88331,1
