Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,Hispanic,33,Masters,25.0,99.2,1.4,Urban,55.8,136870,3,1
Male,White,22,High School,2.4,48.4,1.0,Urban,52.6,76907,2,0
Female,Hispanic,22,Masters,14.3,73.4,4.5,Rural,27.5,100262,3,0
Female,White,30,High School,2.0,35.2,2.1,Urban,77.9,62949,1,0
Female,White,35,Masters,5.1,90.6,4.1,Suburban,60.9,98699,2,0
Female,White,24,Masters,17.1,49.1,4.4,Suburban,61.5,108134,1,1
Male,Black,42,High School,2.1,76.5,4.3,Suburban,79.8,77329,2,0
Female,Black,40,Masters,6.1,67.5,3.3,Rural,38.9,79871,2,0
Male,Black,45,High School,6.3,47.3,3.8,Suburban,47.7,88705,1,0
Male,Black,28,Bachelors,12.1,54.2,3.0,Urban,37.4,95602,1,0
Male,Hispanic,29,High School,0.3,60.6,1.4,Urban,61.0,66689,3,0
Female,Black,39,High School,4.5,68.3,3.7,Urban,42.3,80897,1,0
Male,Hispanic,24,PhD,6.7,82.8,1.0,Suburban,60.6,93949,3,0
Female,Asian,54,Bachelors,2.7,90.7,3.3,Urban,28.2,75053,3,0
Female,White,41,High School,12.3,53.6,2.1,Suburban,90.4,108353,3,1
Male,White,37,Bachelors,1.4,69.0,2.2,Rural,89.9,80371,2,1
Male,Hispanic,30,Bachelors,3.3,100.0,1.4,Suburban,89.9,92882,3,1
Male,White,47,PhD,3.4,73.3,5.0,Urban,37.2,85579,2,0
Male,Asian,40,High School,6.7,58.5,1.3,Urban,87.5,89639,3,1
Male,Hispanic,32,Bachelors,4.9,85.8,2.0,Urban,26.9,87968,3,0
Female,Black,22,Masters,2.7,96.7,2.2,Suburban,70.2,94919,2,0
Female,Asian,33,Bachelors,0.4,100.0,4.3,Urban,28.3,79703,4,0
Female,White,27,PhD,3.9,76.5,3.5,Urban,71.4,85588,1,1
Male,White,52,PhD,1.1,67.9,2.0,Rural,36.7,82999,2,0
Female,Black,40,High School,8.7,60.6,2.8,Suburban,4.6,80532,1,0
Female,White,35,Bachelors,5.4,52.1,2.7,Rural,67.6,75804,4,0
Female,White,41,Bachelors,6.8,58.9,1.9,Rural,100.0,91674,1,1
Female,White,22,Bachelors,8.8,87.1,1.2,Rural,32.4,95380,1,0
Female,Asian,35,High School,4.3,26.8,3.9,Urban,75.7,59577,4,0
Female,Asian,40,Masters,1.5,82.7,1.9,Rural,22.3,76435,3,0
Female,Hispanic,59,High School,1.6,91.2,3.7,Suburban,27.1,81473,3,0
Female,Black,35,Bachelors,13.5,44.2,3.9,Suburban,84.6,91796,1,0
Male,White,35,Masters,3.2,81.2,1.3,Suburban,55.3,81340,1,0
Female,White,35,PhD,5.9,97.6,1.6,Urban,48.6,100110,1,0
Female,White,51,Bachelors,1.6,69.5,3.3,Suburban,85.2,76324,1,0
Female,White,35,High School,7.5,33.0,1.5,Rural,67.6,74897,1,0
Female,Black,22,High School,19.2,67.6,2.1,Urban,51.5,107340,4,0
Male,Hispanic,24,High School,0.5,85.7,1.3,Urban,82.4,79239,3,0
Female,White,22,High School,0.4,96.6,1.3,Rural,63.1,80294,2,0
Female,White,35,High School,4.2,49.6,5.0,Suburban,63.8,83088,3,0
Male,White,37,Bachelors,12.5,78.9,3.8,Rural,61.9,113410,1,1
Male,White,22,Bachelors,9.3,63.3,2.3,Rural,93.9,95274,3,1
Female,White,22,Masters,7.4,46.1,3.1,Suburban,34.9,81773,1,0
Female,White,36,Bachelors,9.2,97.7,3.5,Rural,54.2,99820,2,0
Male,White,27,Bachelors,15.2,48.6,3.1,Suburban,91.8,108993,1,1
Female,Asian,43,Masters,4.0,92.8,3.2,Urban,100.0,79745,3,1
Female,Black,44,Masters,1.3,53.7,3.0,Urban,42.6,72016,1,0
Female,White,28,PhD,11.7,100.0,1.8,Suburban,75.5,95808,1,1
Female,Hispanic,27,High School,3.1,56.8,1.1,Urban,70.4,61880,4,0
Female,White,34,Masters,1.6,56.5,1.4,Suburban,51.5,67721,3,0
Male,Black,42,Bachelors,1.1,73.2,1.8,Rural,0.0,77329,2,0
Female,Asian,42,High School,5.7,86.7,4.2,Urban,41.0,89380,4,0
Female,Hispanic,42,Bachelors,5.6,42.1,1.8,Suburban,46.3,74712,3,0
Female,White,43,High School,14.0,68.1,2.1,Urban,85.3,115963,1,1
Male,White,31,PhD,1.2,86.2,4.3,Suburban,100.0,79747,1,0
