Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,29,Masters,23.0,61.0,50.4,3.7,Urban,119494,1,1
Female,Black,33,Bachelors,4.7,83.7,64.4,4.8,Suburban,97977,2,0
Male,White,35,Bachelors,7.2,61.8,75.0,1.3,Rural,92903,1,1
Male,Asian,29,Bachelors,5.6,59.7,43.3,4.2,Rural,86767,3,1
Male,White,50,Masters,9.0,77.0,8.2,1.1,Urban,109439,2,1
Female,White,36,PhD,4.1,63.7,100.0,2.6,Suburban,74751,1,1
Male,Hispanic,39,Bachelors,4.1,79.8,0.0,3.2,Urban,80344,3,0
Female,White,49,High School,11.6,74.1,28.9,1.7,Urban,99528,1,1
Male,Asian,40,High School,3.5,42.0,46.5,3.7,Suburban,84643,4,0
Female,White,33,Masters,7.0,64.4,68.3,1.2,Urban,82752,1,0
Male,White,22,Bachelors,0.9,61.1,22.2,1.4,Urban,75873,2,0
Male,Asian,42,Bachelors,11.5,46.9,8.8,1.2,Rural,87185,3,1
Male,Asian,22,Masters,7.0,54.7,32.9,1.9,Urban,81520,4,0
Male,Hispanic,42,PhD,5.7,100.0,20.4,3.0,Suburban,92860,3,0
Male,White,30,Masters,2.3,55.1,60.4,5.0,Urban,76137,1,1
Male,White,37,Bachelors,11.4,49.6,47.5,1.0,Urban,96296,3,1
Male,Hispanic,43,PhD,3.0,82.5,89.4,1.9,Urban,78021,4,1
Male,White,22,Masters,15.8,97.4,90.8,1.3,Urban,119466,1,1
Female,Black,46,Bachelors,6.2,60.1,19.9,2.5,Rural,82669,1,0
Male,White,26,High School,0.9,19.5,40.2,2.0,Urban,81500,2,0
Female,White,32,High School,1.1,18.4,60.2,3.1,Rural,58757,1,0
Male,Asian,29,Masters,1.4,79.2,38.8,1.0,Suburban,77503,3,0
Female,White,34,PhD,11.1,84.3,58.0,2.0,Suburban,99070,2,0
Male,White,34,High School,4.0,55.7,63.6,2.4,Urban,72562,2,0
Male,Asian,32,PhD,1.7,67.9,61.1,2.4,Suburban,84163,3,0
Female,Black,39,High School,2.9,41.3,48.5,5.0,Suburban,70885,1,0
Female,Hispanic,24,PhD,2.6,44.7,34.2,4.6,Urban,68997,3,0
Female,White,43,Masters,6.3,92.8,50.1,3.4,Urban,95738,1,1
Male,Black,38,High School,1.0,14.5,86.1,1.9,Suburban,61984,1,0
