Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,50,High School,3.0,97.8,58.9,1.1,Urban,63.2,91310,2,1
Male,Hispanic,22,Masters,2.8,93.1,75.4,1.0,Suburban,76.4,93070,3,1
Male,Asian,37,Bachelors,13.2,94.1,39.9,2.1,Urban,49.4,110299,4,1
Male,White,22,Masters,11.9,81.3,19.3,2.9,Urban,75.0,106727,2,1
Male,White,23,Bachelors,0.0,78.9,63.1,1.3,Suburban,59.3,85638,3,0
Male,White,31,Bachelors,8.6,100.0,32.9,3.4,Urban,61.9,105898,2,1
Male,Hispanic,25,Masters,11.1,65.6,32.0,1.0,Rural,82.3,93767,4,1
Female,Hispanic,32,Bachelors,4.3,82.7,27.0,3.3,Urban,39.1,83861,4,0
Female,Black,32,High School,5.5,31.3,25.1,1.9,Urban,69.9,72251,1,0
Male,Hispanic,37,Masters,8.7,78.2,22.1,4.6,Urban,46.7,93524,3,0
Male,Hispanic,31,PhD,0.1,51.9,53.7,1.9,Urban,61.9,80634,4,0
Female,White,44,Bachelors,8.7,38.6,66.0,1.1,Rural,49.4,83367,2,0
Female,White,53,Masters,8.6,68.3,20.7,4.3,Suburban,100.0,93178,4,1
Female,Asian,38,Bachelors,1.2,74.9,34.2,3.3,Rural,94.5,82431,3,0
Male,Hispanic,42,High School,2.1,68.5,24.3,2.5,Urban,20.2,79045,3,0
Male,Hispanic,45,High School,7.6,87.6,65.7,1.0,Suburban,16.1,100488,3,0
Female,White,39,PhD,0.2,67.7,49.7,1.5,Suburban,100.0,63354,1,0
Male,Black,34,Bachelors,1.7,70.2,86.9,1.0,Suburban,86.6,82099,1,1
Female,Asian,26,Masters,10.8,49.4,50.0,2.9,Urban,66.1,82525,4,0
Male,Hispanic,36,Masters,3.4,66.7,34.6,1.0,Urban,60.8,81065,3,0
Female,Black,26,Masters,3.1,87.4,40.5,1.0,Urban,83.3,72438,3,0
Female,Black,46,Masters,2.8,31.2,63.2,3.1,Rural,51.7,67505,1,0
Female,White,35,Bachelors,3.6,27.9,68.5,2.5,Suburban,67.6,67913,1,0
Female,Asian,37,Bachelors,5.3,18.1,60.4,2.0,Suburban,74.4,72199,4,0
Female,Hispanic,26,High School,0.2,65.1,0.0,2.2,Urban,71.0,69898,3,0
Male,Asian,22,Masters,0.8,56.6,6.1,4.8,Urban,48.9,72729,3,0
Male,Hispanic,26,High School,1.8,78.9,4.2,2.2,Urban,84.1,84089,3,0
Female,Asian,40,Masters,11.6,48.5,30.6,3.7,Rural,94.6,92367,4,1
Female,Black,37,Masters,9.8,57.9,57.0,1.1,Urban,67.0,86613,3,0
Male,White,40,High School,0.6,71.9,18.2,1.3,Urban,43.3,81557,1,0
Male,Hispanic,32,Bachelors,2.1,78.4,19.0,1.0,Suburban,45.0,83322,3,0
Male,Black,30,PhD,4.0,100.0,50.3,2.8,Suburban,57.0,89284,1,0
Female,Black,33,High School,3.5,92.7,66.6,1.2,Rural,79.3,90715,1,0
Male,Black,43,Bachelors,0.1,32.4,24.3,1.0,Urban,100.0,74304,2,0
Female,Asian,30,Bachelors,8.9,49.2,41.5,3.5,Urban,86.8,88033,3,0
Male,Hispanic,34,Bachelors,4.6,40.5,18.2,3.6,Urban,61.8,80094,4,0
Female,Hispanic,22,Bachelors,3.5,42.0,56.3,1.6,Urban,19.7,65602,4,0
Male,Black,48,Bachelors,1.2,88.7,10.5,5.0,Rural,49.2,82418,1,0
Female,Asian,29,Masters,6.5,63.9,53.6,1.4,Urban,77.0,81859,3,0
Male,White,30,Masters,4.4,100.0,73.5,2.0,Urban,60.3,93439,3,1
Female,White,23,PhD,1.9,93.7,28.0,4.1,Urban,80.5,88595,1,0
Female,Hispanic,40,Masters,1.0,44.5,81.8,1.9,Suburban,75.3,67562,3,0
Male,Hispanic,44,Bachelors,7.5,43.0,51.0,3.4,Rural,71.8,92378,4,0
Female,Hispanic,42,High School,1.9,33.4,66.8,4.7,Suburban,71.3,64036,4,0
Female,White,29,Bachelors,1.6,68.4,33.8,1.0,Rural,70.1,70719,1,0
Male,Asian,28,High School,4.2,57.7,13.8,4.2,Urban,81.0,89493,3,1
Female,Black,27,Bachelors,1.4,49.0,63.6,1.5,Urban,0.0,67525,2,0
