Applicant_ID,Gender,Age,Ethnicity,Income,Education_Level,Employment_Status,Credit_Score,Loan_Amount,Region,Marital_Status,Loan_Approved
A00000,Non-binary,32,Hispanic,55922.33062040291,Bachelor,Unemployed,579,21724.171546868056,Rural,Single,Yes
A00001,Male,35,White,74318.3428097113,High School,Self-employed,716,21745.41801031886,Urban,Single,Yes
A00002,Non-binary,35,Hispanic,20000.0,Master,Self-employed,446,17122.784632949675,Suburban,Married,Yes
A00003,Non-binary,69,Black,86709.06123403486,Bachelor,Unemployed,770,19516.325800224953,Urban,Single,Yes
A00004,Male,58,Asian,67073.58751782097,High School,Unemployed,348,15590.532712131113,Suburban,Married,Yes
A00005,Male,41,Asian,74334.55295434686,High School,Employed,316,15632.945009288786,Suburban,Married,No
A00006,Non-binary,19,Asian,51745.61441610471,Master,Unemployed,448,17595.18293354606,Urban,Divorced,Yes
A00007,Female,57,Other,25545.550368692893,Master,Self-employed,511,13357.80876222863,Urban,Divorced,Yes
A00008,Non-binary,37,Other,70681.25912633903,High School,Employed,362,17082.609214878485,Suburban,Married,No
A00009,Non-binary,51,Black,58348.19349166976,Bachelor,Self-employed,835,23568.67303086538,Rural,Divorced,Yes
A00010,Non-binary,60,Hispanic,60642.30910864641,Master,Unemployed,844,27280.589586666953,Rural,Divorced,Yes
A00011,Non-binary,43,Other,81752.13970397908,High School,Self-employed,786,30377.189056960175,Rural,Married,Yes
A00012,Male,24,Hispanic,75241.27747725196,High School,Self-employed,779,17999.33311748564,Rural,Married,Yes
A00013,Non-binary,55,Hispanic,98424.74834179226,Bachelor,Employed,343,26000.534119808388,Urban,Single,Yes
A00014,Female,47,Other,63077.08457746998,PhD,Employed,755,21680.869636302366,Urban,Single,Yes
A00015,Male,59,Other,46175.751244177656,Bachelor,Self-employed,810,18813.229602311883,Suburban,Divorced,Yes
A00016,Female,22,Black,56231.66306182547,High School,Unemployed,654,22011.015320011316,Suburban,Divorced,Yes
A00017,Female,28,White,68313.26745077212,Bachelor,Employed,311,25510.628540506907,Rural,Married,Yes
A00018,Female,18,Asian,80317.13037985955,Master,Self-employed,655,17508.49462666751,Suburban,Single,Yes
A00019,Female,51,Other,30659.320971225625,High School,Employed,436,17393.398258808364,Urban,Single,No
A00020,Male,18,Other,60170.75230358338,Bachelor,Employed,773,17951.099845603574,Rural,Married,Yes
A00021,Male,36,Hispanic,92190.83314076738,Bachelor,Unemployed,352,16866.129762205208,Rural,Married,Yes
A00022,Female,19,White,55195.8225799496,Bachelor,Self-employed,412,25994.41257395028,Rural,Married,Yes
A00023,Female,38,Other,78620.23709738208,Bachelor,Self-employed,777,16180.75397460378,Suburban,Single,Yes
A00024,Male,37,White,69862.3505443201,High School,Self-employed,634,17061.92426847497,Rural,Married,Yes
A00025,Male,40,Asian,79117.2121304996,Bachelor,Self-employed,716,21556.015508036704,Urban,Divorced,Yes
A00026,Male,38,Hispanic,43804.789168001356,Master,Self-employed,366,21151.629015891824,Rural,Single,Yes
A00027,Non-binary,41,Black,43891.966598688385,PhD,Employed,619,17950.74979150627,Suburban,Married,Yes
A00028,Non-binary,21,Asian,60405.43784244576,PhD,Employed,553,28418.106695380844,Suburban,Divorced,Yes
A00029,Non-binary,29,White,29355.56425519377,PhD,Employed,700,16846.820936548655,Rural,Single,Yes
A00030,Female,39,White,54605.18786776684,Master,Employed,599,19144.570213643517,Rural,Married,Yes
A00031,Non-binary,37,Asian,65057.53315031334,PhD,Unemployed,304,10366.24730793755,Suburban,Divorced,Yes
A00032,Female,35,White,95692.71213899544,High School,Unemployed,745,18475.011480805457,Urban,Married,Yes
A00033,Female,18,Black,68054.36378539643,High School,Self-employed,534,13385.217204574616,Urban,Divorced,Yes
A00034,Non-binary,47,Black,72504.56941746204,Master,Unemployed,746,15418.674732710875,Rural,Single,Yes
A00035,Female,50,White,83289.51694100013,Master,Employed,338,10220.701861900883,Rural,Single,Yes
A00036,Non-binary,41,White,40706.848222098866,High School,Employed,499,15537.478368877575,Rural,Single,Yes
A00037,Non-binary,31,Black,56698.346752580284,Master,Employed,320,19624.69389962204,Suburban,Married,Yes
A00038,Male,53,White,108508.25183607786,Master,Employed,373,18779.091141938516,Suburban,Single,Yes
A00039,Non-binary,22,Other,58417.55555230982,High School,Employed,448,17926.13980736653,Rural,Divorced,Yes
