Gender,Race,Age_Group,Salary,Department,Zip_Code,Commute_Distance,Work_Schedule,Promotion_Rate,Training_Hours,Email_Response_Time,Employee_ID,Coffee_Cups_Daily,Desk_Location,Favorite_Color,Performance_Score,Network_Size,Years_Education,Promoted
Male,White,Middle,56846,Marketing,94303,21.1,Standard,0.7,52.0,21.5,9361,2,West,Yellow,53.7,149,16,1
Female,White,Young,55701,HR,94303,23.2,Flexible,0.23,54.7,28.0,1035,0,South,Yellow,56.2,94,19,1
Female,White,Middle,53328,Sales,94303,22.5,Standard,0.42,52.3,28.7,4659,3,South,Blue,51.0,220,18,0
Male,Black,Middle,53654,Sales,94502,19.0,Standard,0.27,45.9,15.4,1919,1,South,Blue,45.3,261,18,1
Male,White,Middle,58284,HR,94303,9.9,Standard,0.7,26.2,35.8,9093,5,North,Blue,38.2,102,20,1
Male,Asian,Middle,64003,Sales,94401,8.7,Flexible,0.29,46.6,26.6,3723,3,East,Yellow,35.3,194,14,1
Male,White,Senior,74332,HR,94303,1.9,Flexible,0.7,19.4,6.7,9549,2,North,Blue,65.1,77,18,0
Female,Black,Young,40382,Marketing,94503,25.8,Standard,0.1,42.3,22.6,4151,2,North,Yellow,49.4,91,19,0
Female,Asian,Middle,47639,Engineering,94404,22.2,Flexible,0.42,50.3,16.5,6369,1,West,Red,61.6,133,20,0
Female,Asian,Young,42243,Sales,94401,27.1,Flexible,0.36,59.8,24.6,1634,2,North,Green,39.8,190,19,0
Male,Asian,Middle,63695,Sales,94401,15.3,Flexible,0.06,30.6,18.9,8872,1,South,Red,67.5,199,18,1
Female,Asian,Young,40763,Sales,94404,16.1,Flexible,0.32,38.6,15.9,10645,3,South,Blue,56.2,164,17,0
Female,Hispanic,Young,28674,HR,94603,21.2,Flexible,0.1,50.3,12.7,2469,2,West,Red,59.8,54,17,1
Male,White,Middle,64889,HR,94302,19.5,Standard,0.7,60.0,25.8,7127,0,South,Red,53.8,46,14,1
Male,Black,Middle,49573,Sales,94501,13.7,Standard,0.42,45.6,28.2,4738,0,South,Red,59.8,180,18,0
Male,White,Senior,83008,Sales,94302,15.9,Standard,0.7,58.5,24.0,5075,1,South,Blue,50.1,190,12,1
Male,White,Middle,69104,Sales,94302,12.7,Standard,0.7,38.4,21.6,2604,3,West,Green,56.4,163,14,0
Male,White,Senior,76388,Engineering,94303,13.6,Flexible,0.7,43.8,24.8,6285,1,East,Green,42.4,153,18,0
Male,White,Middle,59283,HR,94302,6.1,Standard,0.7,36.8,32.5,6584,1,South,Yellow,44.7,98,18,1
Male,White,Young,67848,Sales,94302,13.9,Flexible,0.7,42.0,15.7,4169,1,West,Red,59.9,214,19,1
Female,White,Middle,48343,HR,94302,21.1,Flexible,0.16,30.5,10.3,3351,1,South,Blue,47.1,133,20,0
Male,White,Middle,56501,Engineering,94304,8.0,Flexible,0.7,43.5,14.4,10345,6,West,Green,77.5,176,20,1
Male,Hispanic,Middle,45224,HR,94604,20.6,Standard,0.4,52.9,10.9,6267,1,West,Red,51.6,88,12,0
Male,White,Middle,57359,Sales,94303,11.8,Flexible,0.7,36.7,15.9,2126,2,North,Blue,54.9,224,12,1
Male,Asian,Middle,54307,Engineering,94401,11.3,Standard,0.13,54.2,33.1,10710,1,South,Green,82.7,158,14,1
Female,White,Middle,46186,Marketing,94303,29.5,Flexible,0.28,58.3,7.4,10758,3,South,Green,59.5,75,12,0
Male,Hispanic,Young,50392,HR,94601,15.8,Standard,0.35,58.7,22.0,7586,2,East,Blue,54.7,138,13,0
Male,Asian,Young,59396,Sales,94402,18.9,Standard,0.27,53.3,29.3,1098,2,South,Yellow,46.3,229,19,0
Male,Black,Young,45795,Sales,94501,6.5,Standard,0.42,43.3,24.1,5229,1,North,Green,52.3,174,21,0
Male,Black,Young,49645,Marketing,94501,11.0,Standard,0.16,63.0,31.0,8672,2,South,Red,50.5,117,13,1
Female,White,Middle,34721,Marketing,94301,33.4,Flexible,0.38,28.6,16.4,8411,5,North,Green,35.7,85,18,0
Male,Hispanic,Young,50725,Sales,94601,19.3,Standard,0.31,56.1,20.1,4728,2,West,Red,34.3,181,15,0
Male,Asian,Middle,63877,Sales,94404,9.6,Standard,0.21,27.1,20.9,4639,3,South,Blue,62.2,202,12,1
Female,Asian,Middle,35876,Sales,94402,24.1,Flexible,0.34,29.4,25.4,7786,5,West,Red,47.9,174,18,0
Female,Black,Young,37417,Sales,94501,18.0,Flexible,0.1,49.4,42.8,7282,1,West,Red,65.3,176,19,1
Female,White,Senior,61944,Sales,94301,25.0,Flexible,0.29,42.0,20.9,1650,2,North,Red,51.0,185,16,0
Male,Asian,Middle,62012,Engineering,94402,3.7,Flexible,0.45,50.0,22.1,8697,4,West,Yellow,70.5,156,16,1
Male,White,Young,60793,HR,94301,16.4,Standard,0.7,50.0,16.3,3498,3,West,Blue,72.6,52,19,1
Female,Black,Senior,57023,Sales,94503,19.3,Flexible,0.1,30.8,34.9,3342,2,South,Green,70.6,165,12,1
Male,White,Young,60324,HR,94301,9.4,Standard,0.7,42.1,20.9,4193,0,West,Red,57.6,110,21,0
Male,Hispanic,Young,56641,Sales,94603,13.6,Flexible,0.36,57.0,19.1,10085,5,West,Yellow,45.5,262,21,0
Male,White,Middle,61737,Engineering,94303,16.9,Standard,0.7,46.6,22.3,4185,3,South,Blue,65.6,187,14,0
Male,White,Middle,56472,Engineering,94303,6.1,Standard,0.7,41.8,38.6,8915,0,South,Blue,37.8,211,12,1
Female,Black,Young,35493,HR,94504,16.6,Flexible,0.1,53.0,16.5,1895,3,West,Red,55.8,131,17,1
Male,Asian,Young,56155,Engineering,94404,14.2,Standard,0.34,66.0,23.8,6176,5,East,Blue,44.6,166,19,0
Female,Black,Senior,55811,HR,94502,13.8,Flexible,0.1,45.2,1.0,4430,2,East,Green,37.5,44,18,0
Male,White,Middle,57901,HR,94303,12.7,Flexible,0.7,25.8,31.8,8955,1,South,Yellow,73.3,103,12,1
Male,White,Young,56615,Sales,94304,14.9,Flexible,0.7,58.9,21.7,5113,3,North,Blue,45.2,179,15,1
Male,Asian,Middle,58996,HR,94403,10.4,Standard,0.23,53.8,31.3,10915,2,South,Green,68.7,48,16,0
Male,Hispanic,Senior,70278,HR,94604,9.9,Flexible,0.31,26.8,29.1,10254,2,East,Green,73.1,129,12,0
Female,Asian,Young,48319,Marketing,94402,24.5,Flexible,0.24,59.5,22.3,10971,3,East,Red,50.7,71,19,0
Female,White,Middle,42925,Sales,94302,26.9,Flexible,0.29,70.1,17.4,7365,5,East,Red,60.7,174,16,0
Female,Hispanic,Middle,25095,Marketing,94604,16.8,Flexible,0.1,44.8,21.5,6054,2,North,Blue,41.3,135,12,1
Female,White,Middle,43180,HR,94304,19.9,Flexible,0.42,37.6,10.3,1709,3,South,Green,57.4,50,16,1
