Gender,Age,Commute_Time,Job_Level,Marital_Status,Department,Python_Skill,Excel_Skill,Experience,Education,Spa_Membership,Hiring_Decision
Male,44,21,2,single,HR,109,52,24.8,Bachelors,Y,1
Female,46,32,2,married,Marketing,70,68,29.9,Masters,Y,0
Female,47,31,1,married,Finance,102,55,26.3,Bachelors,Y,0
Female,31,36,1,single,IT,64,72,9.3,Masters,N,0
Male,45,14,2,divorced,HR,77,59,26.8,Bachelors,N,1
Male,38,23,2,married,Finance,68,78,15.6,Bachelors,Y,0
Male,33,8,1,married,HR,74,76,9.6,Masters,N,0
Female,43,24,2,married,HR,67,82,26.8,Masters,Y,1
Female,27,19,1,married,HR,74,91,9.7,Bachelors,N,0
Female,45,28,1,married,Marketing,55,65,20.0,Bachelors,Y,0
Male,27,17,2,married,Engineering,73,73,11.9,Bachelors,Y,0
Female,31,30,1,divorced,HR,64,62,13.3,Masters,N,0
Female,29,30,1,single,Marketing,80,74,8.3,Bachelors,Y,0
Male,44,12,1,married,IT,81,74,24.9,PhD,N,1
Male,30,16,2,divorced,Engineering,81,63,15.6,Masters,N,1
Male,48,9,3,married,Marketing,80,89,34.5,Bachelors,Y,1
Male,31,26,2,married,IT,59,65,14.0,Masters,N,1
Male,22,16,3,married,Engineering,99,79,4.7,Masters,N,0
Male,27,15,2,single,Marketing,68,66,8.2,Bachelors,Y,1
Male,45,27,2,single,IT,90,71,28.4,Bachelors,N,1
Female,40,22,1,single,Marketing,67,75,21.1,Bachelors,N,0
Male,31,11,1,married,IT,72,72,13.3,Bachelors,Y,0
Male,37,11,1,married,HR,92,90,14.1,Bachelors,N,1
Male,40,17,2,single,HR,65,88,22.9,Bachelors,N,1
Male,44,20,3,married,Engineering,66,64,29.4,Bachelors,N,1
Female,53,34,1,married,IT,71,77,32.5,Masters,Y,1
Male,33,33,1,married,HR,82,70,17.8,Bachelors,N,0
Male,25,4,1,married,Engineering,89,77,3.3,Masters,Y,0
Female,38,33,1,married,Finance,78,102,17.9,Masters,Y,0
Male,38,14,1,married,HR,79,85,19.5,Bachelors,N,0
Female,34,26,2,married,HR,71,76,17.7,Bachelors,Y,0
Male,28,14,3,married,Marketing,78,74,11.5,Bachelors,N,1
Male,38,12,3,single,Finance,97,72,21.5,Masters,N,1
Female,41,40,1,married,IT,58,72,22.4,Bachelors,Y,0
Female,42,35,1,married,Engineering,70,92,22.9,Masters,N,0
Female,35,30,1,married,Finance,79,49,15.2,Bachelors,N,0
Male,34,26,1,married,IT,93,82,10.3,Bachelors,N,0
Male,28,8,2,married,HR,71,74,10.3,Masters,N,0
Female,49,22,1,single,Engineering,58,58,32.2,Bachelors,N,0
Male,44,4,2,single,Engineering,65,57,27.2,Bachelors,Y,0
Male,21,13,1,divorced,Finance,75,45,-0.6,Bachelors,N,0
Male,28,18,1,married,Marketing,83,90,5.1,Masters,N,1
Male,24,18,1,married,IT,74,58,5.9,PhD,N,0
Female,36,30,2,married,Finance,78,90,17.1,Bachelors,N,1
Male,35,9,2,single,Marketing,79,81,19.7,Bachelors,N,1
Female,30,34,1,single,Marketing,77,78,12.6,Bachelors,Y,0
Male,28,19,2,married,Marketing,81,62,9.7,Bachelors,Y,1
Male,27,22,1,single,Engineering,59,76,7.7,Masters,N,0
Male,37,6,2,single,IT,66,72,19.9,Bachelors,N,0
Male,36,19,3,divorced,IT,93,81,17.6,Bachelors,Y,1
Female,36,22,2,married,Finance,58,65,21.4,Bachelors,Y,0
Female,43,27,1,married,HR,80,92,24.0,Masters,N,1
Female,37,33,2,married,Finance,71,96,19.3,Masters,N,0
Female,39,30,2,divorced,IT,58,76,23.0,Bachelors,N,0
Female,55,24,2,divorced,Engineering,78,68,37.6,Masters,Y,1
Female,52,30,2,married,Finance,64,74,31.8,Bachelors,Y,0
Male,25,8,3,married,HR,81,62,7.4,Masters,N,1
Male,42,24,2,single,Finance,77,67,19.7,Bachelors,Y,1
Male,42,16,3,single,Marketing,47,61,26.1,Masters,N,0
Male,26,24,3,married,HR,88,75,11.1,Bachelors,N,1
Male,42,14,3,married,Marketing,89,77,25.6,Bachelors,Y,1
Male,48,14,2,single,Engineering,74,65,27.7,Bachelors,Y,1
Female,33,25,1,divorced,IT,77,56,12.0,Masters,N,0
Male,28,23,3,married,Finance,69,75,11.3,Bachelors,N,0
